inst#,actual,predicted,error,prediction
1,4:like,3:neutral,+,0.5
2,2:love,2:love,,0.5
3,3:neutral,2:love,+,0.5
4,3:neutral,3:neutral,,0.5
5,2:love,3:neutral,+,0.5
6,1:dislike,2:love,+,0.5
7,2:love,2:love,,0.5
8,4:like,2:love,+,0.5
9,4:like,3:neutral,+,0.5
10,4:like,2:love,+,0.5
11,1:dislike,3:neutral,+,0.5
12,4:like,2:love,+,0.5
13,4:like,3:neutral,+,0.5
14,2:love,2:love,,0.5
15,2:love,2:love,,0.5
16,3:neutral,2:love,+,0.5
17,3:neutral,3:neutral,,0.5
18,1:dislike,3:neutral,+,0.5
19,1:dislike,3:neutral,+,0.5
20,1:dislike,2:love,+,0.5
21,1:dislike,2:love,+,0.5
22,2:love,2:love,,0.5
23,1:dislike,3:neutral,+,0.5
24,4:like,2:love,+,0.5
25,4:like,3:neutral,+,0.5

