inst#,actual,predicted,error,prediction
1,4:like,1:dislike,+,0.3
2,2:love,1:dislike,+,0.3
3,3:neutral,1:dislike,+,0.3
4,3:neutral,1:dislike,+,0.3
5,2:love,1:dislike,+,0.3
6,1:dislike,1:dislike,,0.3
7,2:love,1:dislike,+,0.3
8,4:like,1:dislike,+,0.3
9,4:like,1:dislike,+,0.3
10,4:like,1:dislike,+,0.3
11,1:dislike,1:dislike,,0.3
12,4:like,1:dislike,+,0.3
13,4:like,1:dislike,+,0.3
14,2:love,1:dislike,+,0.3
15,2:love,1:dislike,+,0.3
16,3:neutral,1:dislike,+,0.3
17,3:neutral,1:dislike,+,0.3
18,1:dislike,1:dislike,,0.3
19,1:dislike,1:dislike,,0.3
20,1:dislike,1:dislike,,0.3
21,1:dislike,1:dislike,,0.3
22,2:love,1:dislike,+,0.3
23,1:dislike,1:dislike,,0.3
24,4:like,1:dislike,+,0.3
25,4:like,1:dislike,+,0.3

