@relation Gender_Inequality_Index

@attribute ﻿Country {Norway,Australia,Switzerland,Denmark,Netherlands,Germany,Ireland,'United States',Canada,'New Zealand',Singapore,'Hong Kong China (SAR)',Liechtenstein,Sweden,'United Kingdom',Iceland,'Korea (Republic of)',Israel,Luxembourg,Japan,Belgium,France,Austria,Finland,Slovenia,Spain,Italy,'Czech Republic',Greece,Estonia,'Brunei Darussalam',Cyprus,Qatar,Andorra,Slovakia,Poland,Lithuania,Malta,'Saudi Arabia',Argentina,'United Arab Emirates',Chile,Portugal,Hungary,Bahrain,Latvia,Croatia,Kuwait,Montenegro,Belarus,'Russian Federation',Oman,Romania,Uruguay,Bahamas,Kazakhstan,Barbados,'Antigua and Barbuda',Bulgaria,Palau,Panama,Malaysia,Mauritius,Seychelles,'Trinidad and Tobago',Serbia,Cuba,Lebanon,'Costa Rica','Iran (Islamic Republic of)','Venezuela (Bolivarian Republic of)',Turkey,'Sri Lanka',Mexico,Brazil,Georgia,'Saint Kitts and Nevis',Azerbaijan,Grenada,Jordan,'The former Yugoslav Republic of Macedonia',Ukraine,Algeria,Peru,Albania,Armenia,'Bosnia and Herzegovina',Ecuador,'Saint Lucia',China,Fiji,Mongolia,Thailand,Dominica,Libya,Tunisia,Colombia,'Saint Vincent and the Grenadines',Jamaica,Tonga,Belize,'Dominican Republic',Suriname,Maldives,Samoa,Botswana,'Moldova (Republic of)',Egypt,Turkmenistan,Gabon,Indonesia,Paraguay,'Palestine State of',Uzbekistan,Philippines,'El Salvador','South Africa','Viet Nam','Bolivia (Plurinational State of)',Kyrgyzstan,Iraq,'Cabo Verde','Micronesia (Federated States of)',Guyana,Nicaragua,Morocco,Namibia,Guatemala,Tajikistan,India,Honduras,Bhutan,Timor-Leste,'Syrian Arab Republic',Vanuatu,Congo,Kiribati,'Equatorial Guinea',Zambia,Ghana,'Lao Peoples Democratic Republic',Bangladesh,Cambodia,'Sao Tome and Principe',Kenya,Nepal,Pakistan,Myanmar,Angola,Swaziland,'Tanzania (United Republic of)',Nigeria,Cameroon,Madagascar,Zimbabwe,Mauritania,'Solomon Islands','Papua New Guinea',Comoros,Yemen,Lesotho,Togo,Haiti,Rwanda,Uganda,Benin,Sudan,Djibouti,'South Sudan',Senegal,Afghanistan,'Côte dIvoire',Malawi,Ethiopia,Gambia,'Congo (Democratic Republic of the)',Liberia,Guinea-Bissau,Mali,Mozambique,'Sierra Leone',Guinea,'Burkina Faso',Burundi,Chad,Eritrea,'Central African Republic',Niger,'Korea (Democratic Peoples Rep. of)','Marshall Islands',Monaco,Nauru,'San Marino',Somalia,Tuvalu}
@attribute Maternal_mortality_ratio numeric
@attribute Adolescent_birth_rate numeric
@attribute Share_of_seats_in_parliament numeric
@attribute Population_with_at_least_some_secondary_education_Female numeric
@attribute Population_with_at_least_some_secondary_education_Male numeric
@attribute 'Labour_force_participation_rate_Female ' numeric
@attribute 'Labour_force_participation_rate_Male ' numeric

@data
Norway,4,7.8,39.6,97.4,96.7,61.2,68.7
Australia,6,12.1,30.5,94.3,94.6,58.8,71.8
Switzerland,6,1.9,28.5,95,96.6,61.8,74.9
Denmark,5,5.1,38,95.5,96.6,58.7,66.4
Netherlands,6,6.2,36.9,87.7,90.5,58.5,70.6
Germany,7,3.8,36.9,96.3,97,53.6,66.4
Ireland,9,8.2,19.9,80.5,78.6,53.1,68.1
'United States',28,31,19.4,95.1,94.8,56.3,68.9
Canada,11,14.5,28.2,100,100,61.6,71
'New Zealand',8,25.3,31.4,95,95.3,62,73.8
Singapore,6,6.1,25.3,74.1,81,58.8,77.2
'Hong Kong China (SAR)',?,3.3,?,72.2,79.2,51.3,67.8
Liechtenstein,?,?,20,?,?,?,?
Sweden,4,6.5,43.6,86.5,87.3,60.3,67.9
'United Kingdom',8,25.8,23.5,99.8,99.9,55.7,68.7
Iceland,4,11.5,41.3,91,91.6,70.5,77.4
'Korea (Republic of)',27,2.2,16.3,77.1,89.1,50.1,72.1
Israel,2,7.8,22.5,84.4,87.3,57.9,69.1
Luxembourg,11,8.4,28.3,100,100,50.7,64.6
Japan,6,5.4,11.6,87,85.8,48.8,70.4
Belgium,6,6.7,42.4,77.5,82.9,47.5,59.3
France,12,5.7,25.7,78,83.2,50.7,61.6
Austria,4,4.1,30.3,100,100,54.6,67.7
Finland,4,9.2,42.5,100,100,55.7,64
Slovenia,7,0.6,27.7,95.8,98,52.3,63.2
Spain,4,10.6,38,66.8,73.1,52.5,65.8
Italy,4,4,30.1,71.3,80.5,39.6,59.5
'Czech Republic',5,4.9,18.9,99.9,99.7,51.1,68.3
Greece,5,11.9,21,59.5,67,44.2,62.5
Estonia,11,16.8,19.8,100,100,56.2,68.9
'Brunei Darussalam',27,23,?,63.9,67.8,52.6,75.3
Cyprus,10,5.5,12.5,76,81.7,56,71.1
Qatar,6,9.5,0,66.7,59,50.8,95.5
Andorra,?,?,50,49.5,49.3,?,?
Slovakia,7,15.9,18.7,99.1,99.5,51.1,68.6
Poland,3,12.2,22.1,79.4,85.5,48.9,64.9
Lithuania,11,10.6,23.4,89.1,94.3,55.8,67.3
Malta,9,18.2,13,68.6,78.2,37.9,66.3
'Saudi Arabia',16,10.2,19.9,60.5,70.3,20.2,78.3
Argentina,69,54.4,36.8,56.3,57.6,47.5,75
'United Arab Emirates',8,27.6,17.5,73.1,61.2,46.5,92
Chile,22,55.3,15.8,73.3,76.4,49.2,74.8
Portugal,8,12.6,31.3,47.7,48.2,54.9,66.2
Hungary,14,12.1,10.1,97.9,98.7,44.8,60
Bahrain,22,13.8,15,56.7,51.4,39.2,86.9
Latvia,13,13.5,18,98.9,99,54.9,67.6
Croatia,13,12.7,25.8,85,93.6,44.7,58.4
Kuwait,14,14.5,1.5,55.6,56.3,43.6,83.1
Montenegro,7,15.2,17.3,84.2,94.7,43,57.3
Belarus,1,20.6,30.1,87,92.2,50.1,63.1
