@relation Gender_Inequality_Index_clustered

@attribute Instance_number numeric
@attribute ﻿Country {Norway,Australia,Switzerland,Denmark,Netherlands,Germany,Ireland,'United States',Canada,'New Zealand',Singapore,'Hong Kong China (SAR)',Liechtenstein,Sweden,'United Kingdom',Iceland,'Korea (Republic of)',Israel,Luxembourg,Japan,Belgium,France,Austria,Finland,Slovenia,Spain,Italy,'Czech Republic',Greece,Estonia,'Brunei Darussalam',Cyprus,Qatar,Andorra,Slovakia,Poland,Lithuania,Malta,'Saudi Arabia',Argentina,'United Arab Emirates',Chile,Portugal,Hungary,Bahrain,Latvia,Croatia,Kuwait,Montenegro,Belarus,'Russian Federation',Oman,Romania,Uruguay,Bahamas,Kazakhstan,Barbados,'Antigua and Barbuda',Bulgaria,Palau,Panama,Malaysia,Mauritius,Seychelles,'Trinidad and Tobago',Serbia,Cuba,Lebanon,'Costa Rica','Iran (Islamic Republic of)','Venezuela (Bolivarian Republic of)',Turkey,'Sri Lanka',Mexico,Brazil,Georgia,'Saint Kitts and Nevis',Azerbaijan,Grenada,Jordan,'The former Yugoslav Republic of Macedonia',Ukraine,Algeria,Peru,Albania,Armenia,'Bosnia and Herzegovina',Ecuador,'Saint Lucia',China,Fiji,Mongolia,Thailand,Dominica,Libya,Tunisia,Colombia,'Saint Vincent and the Grenadines',Jamaica,Tonga,Belize,'Dominican Republic',Suriname,Maldives,Samoa,Botswana,'Moldova (Republic of)',Egypt,Turkmenistan,Gabon,Indonesia,Paraguay,'Palestine State of',Uzbekistan,Philippines,'El Salvador','South Africa','Viet Nam','Bolivia (Plurinational State of)',Kyrgyzstan,Iraq,'Cabo Verde','Micronesia (Federated States of)',Guyana,Nicaragua,Morocco,Namibia,Guatemala,Tajikistan,India,Honduras,Bhutan,Timor-Leste,'Syrian Arab Republic',Vanuatu,Congo,Kiribati,'Equatorial Guinea',Zambia,Ghana,'Lao Peoples Democratic Republic',Bangladesh,Cambodia,'Sao Tome and Principe',Kenya,Nepal,Pakistan,Myanmar,Angola,Swaziland,'Tanzania (United Republic of)',Nigeria,Cameroon,Madagascar,Zimbabwe,Mauritania,'Solomon Islands','Papua New Guinea',Comoros,Yemen,Lesotho,Togo,Haiti,Rwanda,Uganda,Benin,Sudan,Djibouti,'South Sudan',Senegal,Afghanistan,'Côte dIvoire',Malawi,Ethiopia,Gambia,'Congo (Democratic Republic of the)',Liberia,Guinea-Bissau,Mali,Mozambique,'Sierra Leone',Guinea,'Burkina Faso',Burundi,Chad,Eritrea,'Central African Republic',Niger,'Korea (Democratic Peoples Rep. of)','Marshall Islands',Monaco,Nauru,'San Marino',Somalia,Tuvalu}
@attribute Maternal_mortality_ratio numeric
@attribute Adolescent_birth_rate numeric
@attribute Share_of_seats_in_parliament numeric
@attribute Population_with_at_least_some_secondary_education_Female numeric
@attribute Population_with_at_least_some_secondary_education_Male numeric
@attribute 'Labour_force_participation_rate_Female ' numeric
@attribute 'Labour_force_participation_rate_Male ' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,Norway,4,7.83,39.64,97.36,96.75,61.2,68.7,cluster3
1,Australia,6,12.06,30.53,94.28,94.62,58.8,71.8,cluster3
2,Switzerland,6,1.9,28.46,94.99,96.56,61.8,74.9,cluster3
3,Denmark,5,5.1,37.99,95.54,96.56,58.7,66.4,cluster3
4,Netherlands,6,6.17,36.89,87.68,90.47,58.5,70.6,cluster3
5,Germany,7,3.8,36.86,96.29,97.03,53.6,66.4,cluster3
6,Ireland,9,8.24,19.91,80.52,78.56,53.1,68.1,cluster3
7,'United States',28,31,19.44,95.14,94.81,56.3,68.9,cluster3
8,Canada,11,14.5,28.17,100,100,61.6,71,cluster3
9,'New Zealand',8,25.31,31.4,94.98,95.34,62,73.8,cluster3
10,Singapore,6,6.05,25.25,74.08,80.99,58.8,77.2,cluster3
11,'Hong Kong China (SAR)',?,3.29,?,72.23,79.19,51.3,67.8,cluster3
12,Liechtenstein,?,?,20,?,?,?,?,cluster1
13,Sweden,4,6.53,43.55,86.54,87.27,60.3,67.9,cluster3
14,'United Kingdom',8,25.76,23.53,99.82,99.9,55.7,68.7,cluster3
15,Iceland,4,11.49,41.27,91,91.58,70.5,77.4,cluster3
16,'Korea (Republic of)',27,2.24,16.33,77.05,89.11,50.1,72.1,cluster3
17,Israel,2,7.82,22.5,84.37,87.26,57.9,69.1,cluster3
18,Luxembourg,11,8.35,28.33,100,100,50.7,64.6,cluster3
19,Japan,6,5.41,11.58,86.96,85.84,48.8,70.4,cluster3
20,Belgium,6,6.71,42.38,77.5,82.88,47.5,59.3,cluster3
21,France,12,5.74,25.73,78.01,83.21,50.7,61.6,cluster3
22,Austria,4,4.13,30.33,100,100,54.6,67.7,cluster3
23,Finland,4,9.21,42.5,100,100,55.7,64,cluster3
24,Slovenia,7,0.62,27.69,95.78,98.03,52.3,63.2,cluster3
25,Spain,4,10.62,37.99,66.76,73.12,52.5,65.8,cluster3
26,Italy,4,3.96,30.07,71.25,80.54,39.6,59.5,cluster3
27,'Czech Republic',5,4.91,18.86,99.87,99.74,51.1,68.3,cluster3
28,Greece,5,11.86,21,59.51,67,44.2,62.5,cluster2
29,Estonia,11,16.78,19.8,100,100,56.2,68.9,cluster3
30,'Brunei Darussalam',27,22.99,?,63.86,67.77,52.6,75.3,cluster1
31,Cyprus,10,5.47,12.5,76.01,81.7,56,71.1,cluster3
32,Qatar,6,9.52,0,66.67,59.04,50.8,95.5,cluster1
33,Andorra,?,?,50,49.48,49.33,?,?,cluster1
34,Slovakia,7,15.87,18.67,99.09,99.53,51.1,68.6,cluster3
35,Poland,3,12.16,22.14,79.42,85.51,48.9,64.9,cluster3
36,Lithuania,11,10.61,23.4,89.12,94.34,55.8,67.3,cluster3
37,Malta,9,18.19,13.04,68.55,78.21,37.9,66.3,cluster2
38,'Saudi Arabia',16,10.22,19.87,60.47,70.29,20.2,78.3,cluster2
39,Argentina,69,54.35,36.78,56.33,57.61,47.5,75,cluster1
40,'United Arab Emirates',8,27.63,17.5,73.11,61.24,46.5,92,cluster1
